x	y
0.001	2.00401
0.002	2.00803
0.003	2.01207
0.004	2.01613
0.005	2.0202
0.006	2.02429
0.007	2.0284
0.008	2.03252
0.009	2.03666
0.01	2.04082
0.011	2.04499
0.012	2.04918
0.013	2.05339
0.014	2.05761
0.015	2.06186
0.016	2.06612
0.017	2.07039
0.018	2.07469
0.019	2.079
0.02	2.08333
0.021	2.08768
0.022	2.09205
0.023	2.09644
0.024	2.10084
0.025	2.10526
0.026	2.1097
0.027	2.11416
0.028	2.11864
0.029	2.12314
0.03	2.12766
0.031	2.1322
0.032	2.13675
0.033	2.14133
0.034	2.14592
0.035	2.15054
0.036	2.15517
0.037	2.15983
0.038	2.1645
0.039	2.1692
0.04	2.17391
0.041	2.17865
0.042	2.18341
0.043	2.18818
0.044	2.19298
0.045	2.1978
0.046	2.20264
0.047	2.20751
0.048	2.21239
0.049	2.21729
0.05	2.22222
0.051	2.22717
0.052	2.23214
0.053	2.23714
0.054	2.24215
0.055	2.24719
0.056	2.25225
0.057	2.25734
0.058	2.26244
0.059	2.26757
0.06	2.27273
0.061	2.2779
0.062	2.28311
0.063	2.28833
0.064	2.29358
0.065	2.29885
0.066	2.30415
0.067	2.30947
0.068	2.31481
0.069	2.32019
0.07	2.32558
0.071	2.331
0.072	2.33645
0.073	2.34192
0.074	2.34742
0.075	2.35294
0.076	2.35849
0.077	2.36407
0.078	2.36967
0.079	2.3753
0.08	2.38095
0.081	2.38663
0.082	2.39234
0.083	2.39808
0.084	2.40385
0.085	2.40964
0.086	2.41546
0.087	2.42131
0.088	2.42718
0.089	2.43309
0.09	2.43902
0.091	2.44499
0.092	2.45098
0.093	2.457
0.094	2.46305
0.095	2.46914
0.096	2.47525
0.097	2.48139
0.098	2.48756
0.099	2.49377
0.1	2.5
0.101	2.50627
0.102	2.51256
0.103	2.51889
0.104	2.52525
0.105	2.53165
0.106	2.53807
0.107	2.54453
0.108	2.55102
0.109	2.55754
0.11	2.5641
0.111	2.57069
0.112	2.57732
0.113	2.58398
0.114	2.59067
0.115	2.5974
0.116	2.60417
0.117	2.61097
0.118	2.6178
0.119	2.62467
0.12	2.63158
0.121	2.63852
0.122	2.6455
0.123	2.65252
0.124	2.65957
0.125	2.66667
0.126	2.6738
0.127	2.68097
0.128	2.68817
0.129	2.69542
0.13	2.7027
0.131	2.71003
0.132	2.71739
0.133	2.7248
0.134	2.73224
0.135	2.73973
0.136	2.74725
0.137	2.75482
0.138	2.76243
0.139	2.77008
0.14	2.77778
0.141	2.78552
0.142	2.7933
0.143	2.80112
0.144	2.80899
0.145	2.8169
0.146	2.82486
0.147	2.83286
0.148	2.84091
0.149	2.849
0.15	2.85714
