x	y
0.356	1.5528
0.357	1.55521
0.358	1.55763
0.359	1.56006
0.36	1.5625
0.361	1.56495
0.362	1.5674
0.363	1.56986
0.364	1.57233
0.365	1.5748
0.366	1.57729
0.367	1.57978
0.368	1.58228
0.369	1.58479
0.37	1.5873
0.371	1.58983
0.372	1.59236
0.373	1.5949
0.374	1.59744
0.375	1.6
0.376	1.60256
0.377	1.60514
0.378	1.60772
0.379	1.61031
0.38	1.6129
0.381	1.61551
0.382	1.61812
0.383	1.62075
0.384	1.62338
0.385	1.62602
0.386	1.62866
0.387	1.63132
0.388	1.63399
0.389	1.63666
0.39	1.63934
0.391	1.64204
0.392	1.64474
0.393	1.64745
0.394	1.65017
0.395	1.65289
0.396	1.65563
0.397	1.65837
0.398	1.66113
0.399	1.66389
0.4	1.66667
0.401	1.66945
0.402	1.67224
0.403	1.67504
0.404	1.67785
0.405	1.68067
0.406	1.6835
0.407	1.68634
0.408	1.68919
0.409	1.69205
0.41	1.69492
0.411	1.69779
0.412	1.70068
0.413	1.70358
0.414	1.70648
0.415	1.7094
0.416	1.71233
0.417	1.71527
0.418	1.71821
0.419	1.72117
0.42	1.72414
0.421	1.72712
0.422	1.7301
0.423	1.7331
0.424	1.73611
0.425	1.73913
0.426	1.74216
0.427	1.7452
0.428	1.74825
0.429	1.75131
0.43	1.75439
0.431	1.75747
0.432	1.76056
0.433	1.76367
0.434	1.76678
0.435	1.76991
0.436	1.77305
0.437	1.7762
0.438	1.77936
0.439	1.78253
0.44	1.78571
0.441	1.78891
0.442	1.79211
0.443	1.79533
0.444	1.79856
0.445	1.8018
0.446	1.80505
0.447	1.80832
0.448	1.81159
0.449	1.81488
0.45	1.81818
0.451	1.82149
0.452	1.82482
0.453	1.82815
0.454	1.8315
0.455	1.83486
0.456	1.83824
0.457	1.84162
0.458	1.84502
0.459	1.84843
0.46	1.85185
0.461	1.85529
0.462	1.85874
0.463	1.8622
0.464	1.86567
0.465	1.86916
0.466	1.87266
0.467	1.87617
0.468	1.8797
0.469	1.88324
0.47	1.88679
0.471	1.89036
