-2	-2	-2	2

-2	-1.9799	-1.9799	2

-2	-1.9598	-1.9598	2

-2	-1.9397	-1.9397	2

-2	-1.9196	-1.9196	2

-2	-1.8995	-1.8995	2

-2	-1.8794	-1.8794	2

-2	-1.8593	-1.8593	2

-2	-1.8392	-1.8392	2

-2	-1.8191	-1.8191	2

-2	-1.79899	-1.79899	2

-2	-1.77889	-1.77889	2

-2	-1.75879	-1.75879	2

-2	-1.73869	-1.73869	2

-2	-1.71859	-1.71859	2

-2	-1.69849	-1.69849	2

-2	-1.67839	-1.67839	2

-2	-1.65829	-1.65829	2

-2	-1.63819	-1.63819	2

-2	-1.61809	-1.61809	2

-2	-1.59799	-1.59799	2

-2	-1.57789	-1.57789	2

-2	-1.55779	-1.55779	2

-2	-1.53769	-1.53769	2

-2	-1.51759	-1.51759	2

-2	-1.49749	-1.49749	2

-2	-1.47739	-1.47739	2

-2	-1.45729	-1.45729	2

-2	-1.43719	-1.43719	2

-2	-1.41709	-1.41709	2

-2	-1.39698	-1.39698	2

-2	-1.37688	-1.37688	2

-2	-1.35678	-1.35678	2

-2	-1.33668	-1.33668	2

-2	-1.31658	-1.31658	2

-2	-1.29648	-1.29648	2

-2	-1.27638	-1.27638	2

-2	-1.25628	-1.25628	2

-2	-1.23618	-1.23618	2

-2	-1.21608	-1.21608	2

-2	-1.19598	-1.19598	2

-2	-1.17588	-1.17588	2

-2	-1.15578	-1.15578	2

-2	-1.13568	-1.13568	2

-2	-1.11558	-1.11558	2

-2	-1.09548	-1.09548	2

-2	-1.07538	-1.07538	2

-2	-1.05528	-1.05528	2

-2	-1.03518	-1.03518	2

-2	-1.01508	-1.01508	2

-2	-0.994975	-0.994975	2

-2	-0.974874	-0.974874	2

-2	-0.954774	-0.954774	2

-2	-0.934673	-0.934673	2

-2	-0.914573	-0.914573	2

-2	-0.894472	-0.894472	2

-2	-0.874372	-0.874372	2

